Battery_Percent,Time_Remaining,Battery_Condition,Maximum_Capacity,Process_Count,Cycle_Count,Charging,Low_Power_Mode,Process_Power,Process_State,CPU_Usage,CPU_User,CPU_System,CPU_Idle,Total_Memory,Used_Memory,Cached_Memory,Available_Memory,old_CPU_Power,old_CPU_Frequency,old_CPU_Residency,old_CPU_idle,GPU_Power,Avg_GPU_Frequency,Avg_GPU_Residency,Avg_GPU_idle
70,369,Normal,100,628,15,0,0,118.3,3,20.77,14.21,6.57,79.23,24,10.39,7.17,13.61,3451.0,3864.0,14.92,85.08,309.0,349.0,38.21,61.79
70,369,Normal,100,631,15,0,0,155.7,2,24.27,15.87,8.4,75.73,24,10.52,7.22,13.48,4308.0,3690.0,20.92,79.08,569.0,338.0,54.28,45.72
70,359,Normal,100,631,15,0,0,137.2,1,21.16,14.29,6.88,78.84,24,11.17,7.56,12.83,4230.0,4007.0,19.3,80.7,384.0,368.0,44.68,55.32
70,349,Normal,100,630,15,0,0,126.5,3,14.84,10.55,4.29,85.16,24,10.63,7.29,13.37,2998.0,3831.0,13.05,86.95,148.0,359.0,19.37,80.63
70,346,Normal,100,633,15,0,0,94.5,2,11.27,7.73,3.55,88.73,24,10.59,7.38,13.41,1679.0,4031.0,5.07,94.93,42.0,339.0,5.58,94.42
69,336,Normal,100,631,15,0,0,145.2,2,18.57,13.22,5.35,81.43,24,10.68,7.33,13.32,4907.0,4081.0,19.68,80.32,291.0,350.0,38.62,61.38
69,336,Normal,100,632,15,0,0,160.3,2,11.31,8.1,3.21,88.69,24,10.61,7.31,13.39,2692.0,3967.0,10.14,89.86,70.0,338.0,9.0,91.0
69,336,Normal,100,628,15,0,0,144.4,2,11.33,8.02,3.31,88.67,24,10.65,7.37,13.35,2342.0,4103.0,7.68,92.32,25.0,338.0,5.58,94.42
69,336,Normal,100,629,15,0,0,233.0,3,15.01,10.36,4.65,84.99,24,11.06,7.53,12.94,4738.0,4183.0,18.8,81.2,306.0,347.0,34.94,65.06
69,326,Normal,100,627,15,0,0,167.7,1,18.54,12.95,5.59,81.46,24,11.09,7.55,12.91,3048.0,3959.0,12.35,87.65,287.0,338.0,34.95,65.05
69,326,Normal,100,628,15,0,0,132.9,2,18.47,12.21,6.26,81.53,24,10.77,7.37,13.23,2278.0,3949.0,7.1,92.9,238.0,338.0,30.11,69.89
69,326,Normal,100,628,15,0,0,227.1,2,15.03,10.24,4.79,84.97,24,11.06,7.51,12.94,2575.0,3706.0,9.83,90.17,91.0,351.0,12.11,87.89
69,326,Normal,100,632,15,0,0,146.9,3,14.89,10.88,4.01,85.11,24,11.08,7.55,12.92,4222.0,4186.0,16.66,83.34,186.0,338.0,24.63,75.37
69,316,Normal,100,631,15,0,0,81.8,1,25.67,18.8,6.87,74.33,24,11.39,7.66,12.61,6033.0,4439.0,20.39,79.61,172.0,338.0,21.23,78.77
